old_path,content_topic,status,planned_new_anchor,cross_refs_count,notes
Docs/Current/00_Index.md,当前阶段索引,already-consumed,Planned: INDEX.md (全替换),16,cross_refs_count 用 basename 在全部 md 内扫描得出 (排除自身与本任务 spec/plan)
Docs/Current/01_Project_Baseline.md,Phase 11 项目基线,already-consumed,requirements/SRS.md#1 + acceptance/acceptance_report.md#1,12,
Docs/Current/02_Current_Phase_Goals.md,阶段目标完成状态,already-consumed,acceptance/acceptance_report.md#1,12,
Docs/Current/03_Active_Backlog.md,活动 backlog,archive-only,Planned: acceptance/acceptance_report.md#1-附,9,
Docs/Current/04_Open_Risks.md,风险记录,archive-only,Planned: archive/current/04_Open_Risks.md,10,
Docs/Current/05_Implementation_Boundary.md,实施边界,already-consumed,requirements/SRS.md#6.5 + governance.md#6,11,
Docs/Current/06_Current_Task_List.md,当前任务入口,already-consumed,Planned: INDEX.md#3,3,
Docs/Current/07_Evidence_And_Artifacts.md,Evidence 落盘规则,already-consumed,requirements/SRS.md#6.3 + governance.md#1,8,
Docs/Current/08_Phase8_Retrospective_And_Phase9_Checklist.md,Phase 8 复盘,archive-only,Planned: archive/current/08_Phase8_Retrospective_And_Phase9_Checklist.md,4,
Docs/Current/10_Phase8_Closeout.md,Phase 8 收尾,archive-only,Planned: archive/current/10_Phase8_Closeout.md,1,
Docs/Current/11_Phase9_Closeout.md,Phase 9 收尾,archive-only,Planned: archive/current/11_Phase9_Closeout.md,3,
Docs/Current/12_MCP_Repositioning.md,MCP 重定位背景,archive-only,Planned: archive/current/12_MCP_Repositioning.md,2,
Docs/Current/14_MCP_Cognitive_Bridge_Anchor.md,MCP 总口径,already-consumed,design/HLD.md#4 + requirements/SRS.md#3.5,6,
Docs/Current/15_Skill_Spec_Handoff_Chain.md,4 层主链,already-consumed,requirements/SRS.md#4 + design/HLD.md#2,6,
Docs/Current/16_MCP_Repositioning_Plan.md,MCP 重定位方案 v3,already-consumed,design/HLD.md#4 + archive/current/16_MCP_Repositioning_Plan.md,4,
Docs/Current/17_Phase10_Closeout.md,Phase 10 收尾,archive-only,archive/current/17_Phase10_Closeout.md,2,
Docs/Current/18_Phase11_Closeout.md,Phase 11 收尾,already-consumed,acceptance/acceptance_report.md#1,5,
Docs/Decisions/ADR-001-Doc-Governance.md,ADR-001 文档治理,archive-only,Planned: archive/decisions/ADR-001-Doc-Governance.md,2,关键 ADR 内容已被吸收到 governance.md
Docs/Decisions/ADR-002-Task-And-Evidence-Archiving.md,ADR-002 任务与证据归档,archive-only,Planned: archive/decisions/ADR-002-Task-And-Evidence-Archiving.md,1,
Docs/Handoff_Phase10_Execution.md,Phase 10 执行交接文档,archive-only,Planned: archive/Handoff_Phase10_Execution.md,1,Phase 10 准备阶段的 Claude→Codex 交接;归档保留追溯
Docs/History/08_Playable_Runtime_Acceptance_Phase6.md,Phase 6 可玩 Runtime 验收,archive-only,Planned: archive/history/08_Playable_Runtime_Acceptance_Phase6.md,1,
Docs/History/Phase11_Design_Pack/00_Phase11_Document_Index.md,Phase11 设计包: 00_Phase11_Document_Index,archive-only,Planned: archive/history/Phase11_Design_Pack/00_Phase11_Document_Index.md,2,16 份原始设计文档已被吸收到 Plugins/AgentBridge/Docs 8 份框架级规范; 保留追溯
Docs/History/Phase11_Design_Pack/01_Phase11_Unified_Architecture.md,Phase11 设计包: 01_Phase11_Unified_Architecture,archive-only,Planned: archive/history/Phase11_Design_Pack/01_Phase11_Unified_Architecture.md,4,16 份原始设计文档已被吸收到 Plugins/AgentBridge/Docs 8 份框架级规范; 保留追溯
Docs/History/Phase11_Design_Pack/02_Root_Skill_Contract_Standard.md,Phase11 设计包: 02_Root_Skill_Contract_Standard,archive-only,Planned: archive/history/Phase11_Design_Pack/02_Root_Skill_Contract_Standard.md,4,16 份原始设计文档已被吸收到 Plugins/AgentBridge/Docs 8 份框架级规范; 保留追溯
Docs/History/Phase11_Design_Pack/03_Universal_Baseline_Standard.md,Phase11 设计包: 03_Universal_Baseline_Standard,archive-only,Planned: archive/history/Phase11_Design_Pack/03_Universal_Baseline_Standard.md,4,16 份原始设计文档已被吸收到 Plugins/AgentBridge/Docs 8 份框架级规范; 保留追溯
